timestamp,earth_pit_id,leakage_current_A,soil_temperature_C,soil_moisture_percent
2026-01-01 00:00:00,EP-01,0.298,23.69,64.0
2026-01-01 01:00:00,EP-01,0.32,23.61,62.38
2026-01-01 02:00:00,EP-01,0.307,24.22,63.43
2026-01-01 03:00:00,EP-01,0.289,24.91,64.09
2026-01-01 04:00:00,EP-01,0.318,25.54,63.86
2026-01-01 05:00:00,EP-01,0.302,26.07,62.73
2026-01-01 06:00:00,EP-01,0.351,26.71,63.37
2026-01-01 07:00:00,EP-01,0.318,27.7,63.4
2026-01-01 08:00:00,EP-01,0.33,28.06,63.96
2026-01-01 09:00:00,EP-01,0.355,28.8,63.88
2026-01-01 10:00:00,EP-01,0.405,29.08,63.12
2026-01-01 11:00:00,EP-01,0.336,29.57,64.43
2026-01-01 12:00:00,EP-01,0.358,29.38,62.85
2026-01-01 13:00:00,EP-01,0.381,29.61,63.92
2026-01-01 14:00:00,EP-01,0.351,29.23,63.55
2026-01-01 15:00:00,EP-01,0.377,28.91,63.6
2026-01-01 16:00:00,EP-01,0.391,28.18,63.61
2026-01-01 17:00:00,EP-01,0.392,27.2,63.08
2026-01-01 18:00:00,EP-01,0.367,26.64,63.05
2026-01-01 19:00:00,EP-01,0.418,25.88,63.98
2026-01-01 20:00:00,EP-01,0.34,25.31,63.26
2026-01-01 21:00:00,EP-01,0.397,24.95,63.68
2026-01-01 22:00:00,EP-01,0.374,24.27,63.64
2026-01-01 23:00:00,EP-01,0.379,23.83,61.95
2026-01-02 00:00:00,EP-01,0.36,24.1,62.86
2026-01-02 01:00:00,EP-01,0.4,24.01,62.75
2026-01-02 02:00:00,EP-01,0.398,24.32,62.86
2026-01-02 03:00:00,EP-01,0.365,24.76,62.06
2026-01-02 04:00:00,EP-01,0.351,25.51,61.84
2026-01-02 05:00:00,EP-01,0.38,26.19,62.42
2026-01-02 06:00:00,EP-01,0.395,26.8,61.56
2026-01-02 07:00:00,EP-01,0.375,27.21,60.57
2026-01-02 08:00:00,EP-01,0.343,28.03,61.87
2026-01-02 09:00:00,EP-01,0.352,28.74,62.41
2026-01-02 10:00:00,EP-01,0.365,29.41,60.43
2026-01-02 11:00:00,EP-01,0.368,29.36,60.71
2026-01-02 12:00:00,EP-01,0.393,29.3,61.12
2026-01-02 13:00:00,EP-01,0.377,29.43,59.4
2026-01-02 14:00:00,EP-01,0.372,29.17,60.53
2026-01-02 15:00:00,EP-01,0.371,29.16,59.93
2026-01-02 16:00:00,EP-01,0.345,28.3,60.07
2026-01-02 17:00:00,EP-01,0.405,27.76,59.95
2026-01-02 18:00:00,EP-01,0.408,26.63,58.91
2026-01-02 19:00:00,EP-01,0.349,26.07,58.09
2026-01-02 20:00:00,EP-01,0.389,25.43,57.77
2026-01-02 21:00:00,EP-01,0.35,24.96,59.38
2026-01-02 22:00:00,EP-01,0.427,25.04,58.8
2026-01-02 23:00:00,EP-01,0.355,23.76,58.43
2026-01-03 00:00:00,EP-01,0.362,24.01,57.49
2026-01-03 01:00:00,EP-01,0.383,24.41,57.86
2026-01-03 02:00:00,EP-01,0.386,24.27,56.15
2026-01-03 03:00:00,EP-01,0.382,24.91,58.67
2026-01-03 04:00:00,EP-01,0.402,25.71,56.61
2026-01-03 05:00:00,EP-01,0.374,26.0,56.2
2026-01-03 06:00:00,EP-01,0.462,26.75,57.22
2026-01-03 07:00:00,EP-01,0.391,27.83,56.63
2026-01-03 08:00:00,EP-01,0.416,28.32,55.57
2026-01-03 09:00:00,EP-01,0.437,28.82,54.89
2026-01-03 10:00:00,EP-01,0.4,29.39,56.92
2026-01-03 11:00:00,EP-01,0.442,29.62,55.68
2026-01-03 12:00:00,EP-01,0.477,29.79,54.92
2026-01-03 13:00:00,EP-01,0.479,29.74,56.29
2026-01-03 14:00:00,EP-01,0.463,29.13,53.78
2026-01-03 15:00:00,EP-01,0.506,29.28,54.55
2026-01-03 16:00:00,EP-01,0.462,28.65,53.63
2026-01-03 17:00:00,EP-01,0.456,27.81,54.04
2026-01-03 18:00:00,EP-01,0.485,26.93,54.47
2026-01-03 19:00:00,EP-01,0.527,26.26,54.57
2026-01-03 20:00:00,EP-01,0.446,25.56,53.24
2026-01-03 21:00:00,EP-01,0.473,24.82,53.52
2026-01-03 22:00:00,EP-01,0.533,24.29,61.69
2026-01-03 23:00:00,EP-01,0.503,24.22,62.35
2026-01-04 00:00:00,EP-01,0.534,24.46,61.32
2026-01-04 01:00:00,EP-01,0.508,24.24,61.55
2026-01-04 02:00:00,EP-01,0.535,24.36,61.34
2026-01-04 03:00:00,EP-01,0.541,25.53,62.69
2026-01-04 04:00:00,EP-01,0.517,25.55,59.95
2026-01-04 05:00:00,EP-01,0.528,26.35,62.03
2026-01-04 06:00:00,EP-01,0.527,26.88,59.29
2026-01-04 07:00:00,EP-01,0.544,27.53,60.54
2026-01-04 08:00:00,EP-01,0.529,28.4,51.52
2026-01-04 09:00:00,EP-01,0.516,29.43,51.87
2026-01-04 10:00:00,EP-01,0.527,29.82,55.2
2026-01-04 11:00:00,EP-01,0.526,29.66,53.13
2026-01-04 12:00:00,EP-01,0.6,29.64,52.65
2026-01-04 13:00:00,EP-01,0.576,29.83,52.55
2026-01-04 14:00:00,EP-01,0.554,29.2,52.66
2026-01-04 15:00:00,EP-01,0.55,29.08,52.41
2026-01-04 16:00:00,EP-01,0.568,28.66,52.99
2026-01-04 17:00:00,EP-01,0.565,27.79,52.88
2026-01-04 18:00:00,EP-01,0.537,27.13,52.81
2026-01-04 19:00:00,EP-01,0.607,26.66,53.22
2026-01-04 20:00:00,EP-01,0.534,25.45,53.88
2026-01-04 21:00:00,EP-01,0.559,25.19,51.56
2026-01-04 22:00:00,EP-01,0.574,24.74,52.09
2026-01-04 23:00:00,EP-01,0.538,24.43,53.04
2026-01-05 00:00:00,EP-01,0.541,24.27,52.82
2026-01-05 01:00:00,EP-01,0.551,24.68,50.99
2026-01-05 02:00:00,EP-01,0.54,24.7,53.3
2026-01-05 03:00:00,EP-01,0.536,24.77,53.34
2026-01-05 04:00:00,EP-01,0.588,25.4,53.78
2026-01-05 05:00:00,EP-01,0.536,26.37,52.26
2026-01-05 06:00:00,EP-01,0.536,27.37,53.58
2026-01-05 07:00:00,EP-01,0.587,28.07,53.47
2026-01-05 08:00:00,EP-01,0.588,28.61,53.78
2026-01-05 09:00:00,EP-01,0.538,29.12,52.55
2026-01-05 10:00:00,EP-01,0.571,29.32,53.72
2026-01-05 11:00:00,EP-01,0.543,30.07,53.67
2026-01-05 12:00:00,EP-01,0.595,30.08,51.79
2026-01-05 13:00:00,EP-01,0.55,29.61,52.6
2026-01-05 14:00:00,EP-01,0.592,29.69,52.42
2026-01-05 15:00:00,EP-01,0.532,29.13,51.95
2026-01-05 16:00:00,EP-01,0.544,28.61,53.79
2026-01-05 17:00:00,EP-01,0.579,27.42,53.05
2026-01-05 18:00:00,EP-01,0.57,27.24,54.03
2026-01-05 19:00:00,EP-01,0.521,26.32,53.12
2026-01-05 20:00:00,EP-01,0.538,26.06,52.86
2026-01-05 21:00:00,EP-01,0.604,25.08,53.11
2026-01-05 22:00:00,EP-01,0.615,24.8,52.54
2026-01-05 23:00:00,EP-01,0.601,24.3,52.12
2026-01-06 00:00:00,EP-01,0.596,24.46,52.91
2026-01-06 01:00:00,EP-01,0.58,24.46,53.16
2026-01-06 02:00:00,EP-01,0.594,24.6,52.0
2026-01-06 03:00:00,EP-01,0.641,25.22,52.75
2026-01-06 04:00:00,EP-01,0.648,25.97,51.97
2026-01-06 05:00:00,EP-01,0.691,26.44,49.75
2026-01-06 06:00:00,EP-01,0.68,27.11,51.27
2026-01-06 07:00:00,EP-01,0.679,27.61,49.99
2026-01-06 08:00:00,EP-01,0.613,28.46,51.16
2026-01-06 09:00:00,EP-01,0.673,29.25,49.48
2026-01-06 10:00:00,EP-01,0.608,29.66,50.03
2026-01-06 11:00:00,EP-01,0.684,30.07,50.3
2026-01-06 12:00:00,EP-01,0.698,30.08,50.4
2026-01-06 13:00:00,EP-01,0.667,29.9,49.91
2026-01-06 14:00:00,EP-01,0.71,29.58,49.95
2026-01-06 15:00:00,EP-01,0.689,29.2,49.96
2026-01-06 16:00:00,EP-01,0.65,28.39,47.88
2026-01-06 17:00:00,EP-01,0.647,27.84,49.43
2026-01-06 18:00:00,EP-01,0.702,27.29,49.46
2026-01-06 19:00:00,EP-01,0.746,26.52,49.43
2026-01-06 20:00:00,EP-01,0.719,25.7,47.63
2026-01-06 21:00:00,EP-01,0.683,25.11,47.58
2026-01-06 22:00:00,EP-01,0.742,25.19,46.51
2026-01-06 23:00:00,EP-01,0.735,24.36,47.75
2026-01-07 00:00:00,EP-01,0.723,24.11,47.87
2026-01-07 01:00:00,EP-01,0.713,24.47,46.03
2026-01-07 02:00:00,EP-01,0.713,24.95,46.5
2026-01-07 03:00:00,EP-01,0.738,25.38,47.47
2026-01-07 04:00:00,EP-01,0.722,25.6,47.04
2026-01-07 05:00:00,EP-01,0.722,26.8,46.26
2026-01-07 06:00:00,EP-01,0.727,27.37,47.29
2026-01-07 07:00:00,EP-01,0.782,28.05,45.64
2026-01-07 08:00:00,EP-01,0.756,28.54,45.56
2026-01-07 09:00:00,EP-01,0.728,29.36,44.42
2026-01-07 10:00:00,EP-01,0.688,29.33,43.99
2026-01-07 11:00:00,EP-01,0.715,29.97,46.24
2026-01-07 12:00:00,EP-01,0.753,29.93,44.78
2026-01-07 13:00:00,EP-01,0.714,29.98,44.46
2026-01-07 14:00:00,EP-01,0.738,29.69,44.99
2026-01-07 15:00:00,EP-01,0.693,29.32,46.05
2026-01-07 16:00:00,EP-01,0.726,29.03,43.89
